Namespace(rate=0.2, data_file_dir='../Data/', data_dir='../Data/functional_connectivity/node=15_size=480_step=180_rho=0.100000/', output='./nu_node=15_size=480_step=180_rho=0.100000_num_iter=150.log', num_iter=150, Linear=False)
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.8000099423344601
train acc=0.9987531172069826, test acc=0.8159203980099502, train auc=0.9988207547169811, test auc=0.8128371628371628
train acc=1.0, test acc=0.8208955223880597, train auc=1.0, test auc=0.8206391875746716
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.8001488095238095
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7928571428571429
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.8031819984139572
train acc=1.0, test acc=0.8159203980099502, train auc=1.0, test auc=0.8186046511627908
train acc=0.9987531172069826, test acc=0.835820895522388, train auc=0.9988317757009345, test auc=0.8334160873882821
train acc=1.0, test acc=0.8308457711442786, train auc=1.0, test auc=0.8278388278388278
train acc=0.9987531172069826, test acc=0.8109452736318408, train auc=0.9988372093023256, test auc=0.8100218080888184
train acc=1.0, test acc=0.8208955223880597, train auc=1.0, test auc=0.8178678678678678
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.7937062937062936
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.7956930693069307
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7892857142857143
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7837514934289129
train acc=1.0, test acc=0.8407960199004975, train auc=1.0, test auc=0.8441058941058941
train acc=1.0, test acc=0.8208955223880597, train auc=1.0, test auc=0.8204099821746881
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8059738458490193
train acc=1.0, test acc=0.7810945273631841, train auc=1.0, test auc=0.7814674885663153
train acc=1.0, test acc=0.8507462686567164, train auc=1.0, test auc=0.8495535714285714
train acc=1.0, test acc=0.8109452736318408, train auc=1.0, test auc=0.8100851991281951
train acc=1.0, test acc=0.835820895522388, train auc=1.0, test auc=0.8386856233843707
train acc=1.0, test acc=0.8258706467661692, train auc=1.0, test auc=0.8279761904761904
train acc=1.0, test acc=0.8258706467661692, train auc=1.0, test auc=0.8224137931034483
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8030167264038232
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.7955011272801804
