Namespace(rate=0.2, data_file_dir='../Data/', data_dir='../Data/functional_connectivity/node=50_size=480_step=180_rho=0.100000/', output='./linear_node=50_size=480_step=180_rho=0.100000_num_iter=150.log', num_iter=150, Linear=True)
train acc=1.0, test acc=0.9402985074626866, train auc=1.0, test auc=0.9400477232054086
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9060439560439559
train acc=1.0, test acc=0.9303482587064676, train auc=1.0, test auc=0.9307048984468339
train acc=1.0, test acc=0.9154228855721394, train auc=1.0, test auc=0.9154761904761903
train acc=1.0, test acc=0.9154228855721394, train auc=1.0, test auc=0.9145833333333334
train acc=1.0, test acc=0.9303482587064676, train auc=1.0, test auc=0.9316514670896113
train acc=1.0, test acc=0.9651741293532339, train auc=1.0, test auc=0.9666329625884732
train acc=1.0, test acc=0.9651741293532339, train auc=1.0, test auc=0.9642502482621648
train acc=1.0, test acc=0.9104477611940298, train auc=1.0, test auc=0.9146825396825395
train acc=1.0, test acc=0.9253731343283582, train auc=1.0, test auc=0.9268437747819191
train acc=1.0, test acc=0.9552238805970149, train auc=1.0, test auc=0.9563063063063063
train acc=1.0, test acc=0.945273631840796, train auc=1.0, test auc=0.9433566433566434
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.9005940594059406
train acc=1.0, test acc=0.9502487562189055, train auc=1.0, test auc=0.9501488095238094
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9053166069295102
train acc=1.0, test acc=0.9651741293532339, train auc=1.0, test auc=0.9643856143856144
train acc=1.0, test acc=0.9104477611940298, train auc=1.0, test auc=0.9102792632204397
train acc=1.0, test acc=0.9303482587064676, train auc=1.0, test auc=0.9300574598771548
train acc=1.0, test acc=0.9303482587064676, train auc=1.0, test auc=0.9294094253330681
train acc=1.0, test acc=0.9552238805970149, train auc=1.0, test auc=0.9562499999999999
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.9009312462849217
train acc=1.0, test acc=0.945273631840796, train auc=1.0, test auc=0.9460131238814875
train acc=1.0, test acc=0.945273631840796, train auc=1.0, test auc=0.9458333333333334
train acc=1.0, test acc=0.9203980099502488, train auc=1.0, test auc=0.9231744421906694
train acc=1.0, test acc=0.9303482587064676, train auc=1.0, test auc=0.9321983273596177
train acc=1.0, test acc=0.9353233830845771, train auc=1.0, test auc=0.9377946300471408
train acc=1.0, test acc=0.9253731343283582, train auc=1.0, test auc=0.9254220456802383
train acc=1.0, test acc=0.9552238805970149, train auc=1.0, test auc=0.9563603531300161
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8914551942902458
train acc=1.0, test acc=0.9402985074626866, train auc=1.0, test auc=0.9406653426017875
train acc=1.0, test acc=0.9502487562189055, train auc=1.0, test auc=0.9513322728176575
train acc=1.0, test acc=0.9203980099502488, train auc=1.0, test auc=0.9208259061200237
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9070570570570571
train acc=1.0, test acc=0.9402985074626866, train auc=1.0, test auc=0.9407108721624851
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8924924924924924
train acc=1.0, test acc=0.9353233830845771, train auc=1.0, test auc=0.9324215607401449
