Namespace(rate=0.2, data_file_dir='../Data/', data_dir='../Data/functional_connectivity/node=15_size=480_step=180_rho=0.100000/', output='./linear_node=15_size=480_step=180_rho=0.100000_num_iter=150.log', num_iter=150, Linear=True)
train acc=1.0, test acc=0.7512437810945274, train auc=1.0, test auc=0.7540763571286538
train acc=1.0, test acc=0.746268656716418, train auc=1.0, test auc=0.7406593406593407
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7759856630824373
train acc=1.0, test acc=0.746268656716418, train auc=1.0, test auc=0.74375
train acc=1.0, test acc=0.7562189054726368, train auc=1.0, test auc=0.758184523809524
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7870241871530531
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.7924165824064712
train acc=1.0, test acc=0.8208955223880597, train auc=1.0, test auc=0.8170804369414102
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8047924297924298
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7839016653449644
train acc=1.0, test acc=0.7562189054726368, train auc=1.0, test auc=0.753003003003003
train acc=1.0, test acc=0.7412935323383084, train auc=1.0, test auc=0.7323176823176822
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7857920792079207
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7741071428571428
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7807646356033453
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.7956043956043957
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7853535353535354
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7911630671686151
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7708291906939749
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7741071428571428
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7845749950465624
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.8027440843109962
train acc=1.0, test acc=0.7611940298507462, train auc=1.0, test auc=0.7611607142857142
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7843813387423935
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7837514934289129
train acc=1.0, test acc=0.7611940298507462, train auc=1.0, test auc=0.754714080754253
train acc=1.0, test acc=0.7611940298507462, train auc=1.0, test auc=0.758291956305859
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7646468699839486
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7849425059476606
train acc=1.0, test acc=0.736318407960199, train auc=1.0, test auc=0.7357994041708044
train acc=1.0, test acc=0.7661691542288557, train auc=1.0, test auc=0.7655100417578047
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7765894236482471
train acc=1.0, test acc=0.7164179104477612, train auc=1.0, test auc=0.7148648648648649
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.8058542413381123
train acc=1.0, test acc=0.7562189054726368, train auc=1.0, test auc=0.7582582582582582
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.790929203539823
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.773725922953451
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.8021206690561529
train acc=1.0, test acc=0.8159203980099502, train auc=1.0, test auc=0.8165165165165165
train acc=1.0, test acc=0.7661691542288557, train auc=1.0, test auc=0.765940594059406
train acc=1.0, test acc=0.7412935323383084, train auc=1.0, test auc=0.7402772237734343
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7815113500597372
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7760891089108911
train acc=1.0, test acc=0.8159203980099502, train auc=1.0, test auc=0.8137886597938144
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7682441837343408
train acc=1.0, test acc=0.7313432835820896, train auc=1.0, test auc=0.7305407011289365
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.8012376237623762
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7912953060011884
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7867383512544803
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7846153846153847
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.7924165824064712
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7762762762762762
train acc=1.0, test acc=0.7412935323383084, train auc=1.0, test auc=0.7420848267622461
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.806149732620321
